County_Code,County_Name,Const_Code,Constituency_Name,Caw_Code,Caw_Name,PS_Code,Polling_Station_Name,lon,lat
001,Mombasa,001,Changamwe,0001,Port Reitz,001,Bomu Primary School,39.614248,-4.02653
001,Mombasa,001,Changamwe,0001,Port Reitz,002,Mwijabu Primary School,39.618888,-4.0398
001,Mombasa,001,Changamwe,0001,Port Reitz,003,Lilongwe Garden,,
001,Mombasa,001,Changamwe,0002,Kipevu,004,Umoja Primary School,39.621208,-4.03337
001,Mombasa,001,Changamwe,0002,Kipevu,005,Kisumu Ndogo Ground,,
001,Mombasa,001,Changamwe,0002,Kipevu,006,Kwa Hola Primary School,,
001,Mombasa,001,Changamwe,0002,Kipevu,007,Cape Town Ground,,
001,Mombasa,001,Changamwe,0002,Kipevu,008,Kaloleni Ground,,
001,Mombasa,001,Changamwe,0003,Airport,009,Bokole Nursery School,,
001,Mombasa,001,Changamwe,0003,Airport,010,Baraka Village,,
001,Mombasa,001,Changamwe,0003,Airport,011,Al-Irshadi Nursery School,,
001,Mombasa,001,Changamwe,0003,Airport,012,Mwidani Social Hall,,
001,Mombasa,001,Changamwe,0003,Airport,013,Portreitz Nursery School,,
001,Mombasa,001,Changamwe,0004,Changamwe,014,Changamwe Social Hall,,
001,Mombasa,001,Changamwe,0004,Changamwe,015,Changamwe Primary School,39.632158,-4.0283
001,Mombasa,001,Changamwe,0004,Changamwe,016,St. Lwanga Primary School,39.615638,-4.02848
001,Mombasa,001,Changamwe,0004,Changamwe,017,Changamwe Secondary School,,
001,Mombasa,001,Changamwe,0004,Changamwe,018,Gome Primary School,39.621578,-4.02065
001,Mombasa,001,Changamwe,0004,Changamwe,019,Magongo Primary School,39.624148,-4.02357
001,Mombasa,001,Changamwe,0004,Changamwe,020,Baptist Church Primary School,,
001,Mombasa,001,Changamwe,0005,Chaani,021,Chaani Social Hall,,
001,Mombasa,001,Changamwe,0005,Chaani,022,Kipevu Primary School,39.629478,-4.03138
001,Mombasa,001,Changamwe,0005,Chaani,023,Mikadini Primary School,39.624378,-4.03678
001,Mombasa,001,Changamwe,0005,Chaani,024,Chaani Primary School,39.622308,-4.03876
001,Mombasa,002,Jomvu,0006,Jomvu Kuu,001,Miritini World Bank Primary School,39.581298,-4.00253
001,Mombasa,002,Jomvu,0006,Jomvu Kuu,002,Jomvu Kuu Primary School,,
001,Mombasa,002,Jomvu,0006,Jomvu Kuu,003,Taratibu Social Hall,,
001,Mombasa,002,Jomvu,0006,Jomvu Kuu,004,Mirironi Primary School,,
001,Mombasa,002,Jomvu,0006,Jomvu Kuu,005,Aldinnah Nursery School,,
001,Mombasa,002,Jomvu,0006,Jomvu Kuu,006,Jomvu Narcol Nursery School,39.607438,-3.99931
001,Mombasa,002,Jomvu,0006,Jomvu Kuu,007,Swaleh Khalid Social Hall,,
001,Mombasa,002,Jomvu,0006,Jomvu Kuu,008,Nuru Community Based Rehabilitation School,39.593148,-4.00075
001,Mombasa,002,Jomvu,0007,Miritini,009,Abu-Ubaida Primary School,,
001,Mombasa,002,Jomvu,0007,Miritini,010,Miritini Primary School,39.581298,-4.00253
001,Mombasa,002,Jomvu,0007,Miritini,011,Bamako Innitiative Miritini,,
001,Mombasa,002,Jomvu,0007,Miritini,012,Railway Station Hall,,
001,Mombasa,002,Jomvu,0007,Miritini,013,Mwamlai Primary School,,
001,Mombasa,002,Jomvu,0008,Mikindani,014,Ministry Of Water Tanks,,
001,Mombasa,002,Jomvu,0008,Mikindani,015,Mikindani Social Hall,,
001,Mombasa,002,Jomvu,0008,Mikindani,016,Owino Uhuru Nursery School,,
001,Mombasa,002,Jomvu,0008,Mikindani,017,Kwa Shee Primary School,,
001,Mombasa,002,Jomvu,0008,Mikindani,018,Amani Primary School,,
001,Mombasa,002,Jomvu,0008,Mikindani,019,St. Mary's Bangladesh Primary School,39.615638,-4.02848
